DATE,VACCINE_NUM
2020-12-08,0.0
2020-12-09,
2020-12-10,
2020-12-11,
2020-12-12,
2020-12-13,
2020-12-14,
2020-12-15,
2020-12-16,
2020-12-17,
2020-12-18,
2020-12-19,
2020-12-20,650714.0
2020-12-21,
2020-12-22,
2020-12-23,
2020-12-24,
2020-12-25,
2020-12-26,
2020-12-27,963208.0
2020-12-28,
2020-12-29,
2020-12-30,
2020-12-31,
2021-01-01,
2021-01-02,
2021-01-03,1296432.0
2021-01-04,
2021-01-05,
2021-01-06,
2021-01-07,
2021-01-08,
2021-01-09,
2021-01-10,2286572.0
2021-01-11,2431648.0
2021-01-12,2639309.0
2021-01-13,2918252.0
2021-01-14,3234946.0
2021-01-15,3559179.0
2021-01-16,3857266.0
2021-01-17,4062501.0
2021-01-18,4266577.0
2021-01-19,4609740.0
2021-01-20,4973248.0
2021-01-21,5383103.0
2021-01-22,5861351.0
2021-01-23,6353321.0
2021-01-24,6573570.0
2021-01-25,6853327.0
2021-01-26,7164387.0
2021-01-27,7447199.0
2021-01-28,7891184.0
2021-01-29,8378940.0
2021-01-30,8977329.0
2021-01-31,9296367.0
2021-02-01,
2021-02-02,
2021-02-03,
2021-02-04,
2021-02-05,
2021-02-06,
2021-02-07,
2021-02-08,
2021-02-09,
2021-02-10,
2021-02-11,
2021-02-12,
2021-02-13,
2021-02-14,
2021-02-15,
